Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
1/25/24,Thursday,14.60,School Lunch b,Food,Debit,Need
1/25/24,Thursday,23.77,Grocery bill,Food,Debit,Need
1/26/24,Friday,20.64,Wifi bill ,Bills,Debit,Want
1/26/24,Friday,3.17,Shared Food lunch,Food,Debit,Need
1/27/24,Saturday,11.05,Boba drink,Food,Debit,Want
1/28/24,Sunday,500,Personal Goal Bill,Bills,Debit,Need
1/28/24,Sunday,8.45,Boba drink,Food,Debit,Want
1/28/24,Sunday,14.98,Panda Express lunch,Food,Debit,Need
1/29/24,Monday,11.05,Boba drink,Food,Debit,Want
1/29/24,Monday,8.45,Dinner ,Food,Debit,Need
1/29/24,Monday,17.76,Dinner ,Food,Debit,Need
1/30/24,Tuesday,10.36,Car gas,Travel,Debit,Need
1/30/24,Tuesday,15.96,Uber,Travel,Debit,Want
1/31/24,Wednesday,29.95,Burger Lunch,Food,Debit,Need
1/31/24,Wednesday,57.04,amazon essentials ,Housing,Debit,Want
2/1/24,Thursday,9.81,School Lunch ,Food,Debit,Need
2/1/24,Thursday,26.4,doordash ,Food,Debit,Want
2/2/24,Friday,1670,School tuition fees,Bills,Debit,Need
2/3/24,Saturday,199.84,shoe ,Entertainment and Recreation,Debit,Want
2/3/24,Saturday,309,Hotel fees,Travel,Debit,Want
2/4/24,Sunday,16.45,85 cafe,Food,Debit,Want
2/5/24,Monday,93.71,Water bill,Bills,Debit,Need
2/5/24,Monday,4.99,Sound cloud,Entertainment and Recreation,Debit,Want
2/6/24,Tuesday,16.45,Bakery,Food,Debit,Want
2/7/24,Wednesday,2.00,Bus,Travel,Debit,Need
2/7/24,Wednesday,16.94,Uber,Travel,Debit,Want
